price,location,bedrooms,toilet,garage,LT,LB
32000000000,"Pondok Indah, Jakarta Selatan",6.0,6.0,7.0,600.0,600.0
40000000000,"Cipete, Jakarta Selatan",5.0,5.0,4.0,864.0,796.0
14800000000,"Pejaten, Jakarta Selatan",5.0,4.0,4.0,371.0,380.0
42000000000,"Pondok Indah, Jakarta Selatan",5.0,5.0,4.0,603.0,850.0
2700000000,"Cilandak, Jakarta Selatan",5.0,3.0,2.0,124.0,125.0
27900000000,"Kemang, Jakarta Selatan",5.0,4.0,5.0,1000.0,1400.0
7900000000,"Kemang, Jakarta Selatan",3.0,2.0,5.0,404.0,250.0
1200000000,"Serpong, Tangerang Selatan",2.0,1.0,1.0,72.0,45.0
1100000000,"Serpong, Tangerang Selatan",3.0,2.0,1.0,120.0,55.0
495000000,"BSD, Tangerang",2.0,1.0,,72.0,39.0
10000000000,"Sunter, Jakarta Utara",3.0,5.0,,12.0,12.0
14500000000,"Sunter, Jakarta Utara",4.0,3.0,,630.0,500.0
9900000000,"Sunter, Jakarta Utara",4.0,3.0,1.0,364.0,560.0
4950000000,"Sunter, Jakarta Utara",3.0,4.0,2.0,247.0,400.0
2900000000,"Gading Serpong, Tangerang",3.0,4.0,2.0,126.0,126.0
23000000000,"Mega Kuningan, Jakarta Selatan",4.0,4.0,,300.0,300.0
2800000000,"Cibubur, Bogor",3.0,3.0,1.0,120.0,140.0
3000000000,"Serpong, Tangerang Selatan",3.0,3.0,1.0,98.0,118.0
500000000,"Sawangan, Depok",2.0,2.0,1.0,50.0,45.0
5500000000,"Sunter, Jakarta Utara",3.0,3.0,2.0,196.0,350.0
770000000,"Gading Serpong, Tangerang",1.0,1.0,1.0,90.0,60.0
3400000000,"Kelapa Gading, Jakarta Utara",4.0,4.0,2.0,102.0,280.0
3000000000,"Kelapa Gading, Jakarta Utara",3.0,2.0,2.0,170.0,120.0
2300000000,"Cakung, Jakarta Timur",3.0,3.0,1.0,84.0,87.0
1000000000,"Sentul City, Bogor",3.0,2.0,1.0,72.0,60.0
1500000000,"Cipondoh, Tangerang",4.0,3.0,1.0,90.0,150.0
900000000,"Bekasi Utara, Bekasi",3.0,2.0,,120.0,90.0
27900000000,"Kemang, Jakarta Selatan",5.0,4.0,5.0,1000.0,1400.0
7900000000,"Kemang, Jakarta Selatan",3.0,2.0,5.0,404.0,250.0
37000000000,"Kemang, Jakarta Selatan",4.0,3.0,6.0,1060.0,500.0
7900000000,"Pejaten, Jakarta Selatan",3.0,2.0,5.0,404.0,300.0
20900000000,"Kebayoran Baru, Jakarta Selatan",2.0,1.0,4.0,200.0,90.0
14300000000,"Kemang, Jakarta Selatan",3.0,3.0,7.0,696.0,325.0
54900000000,"Menteng, Jakarta Pusat",8.0,8.0,6.0,629.0,505.0
44000000000,"Pondok Indah, Jakarta Selatan",5.0,5.0,6.0,627.0,1050.0
22000000000,"Kemang, Jakarta Selatan",6.0,5.0,5.0,854.0,650.0
